Position;Team;Points;Played;W;D;L;Goals Pro;Goals Agst;Goals +
1;Manchester City;56;22;18;2;2;54;13;41
2;Liverpool;45;21;13;6;2;55;18;37
3;Chelsea;44;23;12;8;3;46;18;28
4;West Ham United;37;22;11;4;7;41;30;11
5;Arsenal;35;20;11;2;7;33;25;8
6;Tottenham Hotspur;33;18;10;3;5;23;20;3
7;Manchester United;32;20;9;5;6;32;29;3
8;Wolverhampton Wanderers;31;20;9;4;7;17;15;2
9;Brighton and Hove Albion;29;21;6;11;4;22;22;0
10;Leicester City;25;18;7;4;7;31;33;-2
11;Crystal Palace;24;21;5;9;7;30;31;-1
12;Southampton;24;21;5;9;7;25;33;-8
13;Aston Villa;23;20;7;2;11;27;32;-5
14;Brentford;23;21;6;5;10;24;33;-9
15;Leeds United;22;20;5;7;8;24;39;-15
16;Everton;19;19;5;4;10;24;34;-10
17;Watford;14;19;4;2;13;23;37;-14
18;Norwich City;13;21;3;4;14;10;45;-35
19;Newcastle United;12;20;1;9;10;20;43;-23
20;Burnley;11;17;1;8;8;16;27;-11
